Year,Country Name,Country Code,AG.LND.AGRI.K2,AG.LND.TOTL.K2,AG.SRF.TOTL.K2,EG.ELC.COAL.ZS,EG.ELC.FOSL.ZS,EG.ELC.HYRO.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,EG.ELC.RNEW.ZS,EG.ELC.RNWX.KH,EG.ELC.RNWX.ZS,EG.FEC.RNEW.ZS,EG.GDP.PUSE.KO.PP,EG.USE.COMM.CL.ZS,EG.USE.COMM.FO.ZS,EG.USE.ELEC.KH.PC,EN.ATM.CO2E.GF.KT,EN.ATM.CO2E.GF.ZS,EN.ATM.CO2E.KT,EN.ATM.CO2E.LF.KT,EN.ATM.CO2E.LF.ZS,EN.ATM.CO2E.PC,EN.ATM.CO2E.PP.GD,EN.ATM.CO2E.SF.KT,EN.ATM.CO2E.SF.ZS,EN.CO2.BLDG.ZS,EN.CO2.ETOT.ZS,EN.CO2.MANF.ZS,EN.CO2.OTHX.ZS,EN.CO2.TRAN.ZS,EN.POP.DNST,NY.GDP.TOTL.RT.ZS,SP.RUR.TOTL,SP.URB.TOTL
2007,China,CHN,5278619.111,9424700,9600000,80.95423534,82.84347871,14.78656465,1.033186158,1.893174152,0.856057213,15.26334714,15647000000,0.476782488,15.34937114,4.177846239,2.924529801,87.40785733,2325.926769,135433.311,2.022100591,6697654.489,904450.882,13.50399432,5.082123622,0.746207487,4978938.923,74.3385454,6.156229275,51.33483908,32.77123074,2.280565875,7.457135039,139.8330981,6.376429083,722214159,595670841
2007,Colombia,COL,424360,1109500,1141750,6.297986383,18.46660872,80.48131247,11.8951905,0,0.273431841,81.53339128,581000000,1.052078806,29.66092561,15.1236977,10.34504516,74.41022167,988.5793229,14044.61,22.49632893,62430.675,34275.449,54.90161527,1.427394293,0.145920938,8060.066,12.91042584,9.751643535,22.95471147,24.6165084,2.702702703,39.97443389,39.42092114,6.565207095,10140105,33597407
2007,"Congo, Dem. Rep.",COD,256500,2267050,2344860,0,1.103780766,98.89621923,1.01497082,0,0.088809947,98.89621923,0,0,97.17172342,1.877626084,2.909198844,2.873759641,105.2457208,44.004,2.505219207,1756.493,1448.465,82.46346555,0.030049313,0.052191678,0,0,1.298701299,3.896103896,9.090909091,0,86.36363636,25.78402902,25.60744406,35966551,22487132
2007,"Congo, Rep.",COG,105500,341500,342000,0,17.69041769,82.30958231,17.69041769,0,0,82.30958231,0,0,60.67788048,13.38474023,2.359642477,35.15468123,125.3831474,40.337,3.32326284,1213.777,1122.102,92.44712991,0.313142347,0.07197423,0,0,6.363636364,3.636363636,2.727272727,0,87.27272727,11.35027526,49.57432712,1477073,2399046
2007,Costa Rica,CRI,18000,51060,51100,0,7.977900552,74.79558011,0,0,7.977900552,92.02209945,1559000000,17.22651934,42.843379,11.43046983,14.31986085,49.06389155,1885.516779,0,0,8122.405,6677.607,82.21218962,1.844061519,0.157613389,297.027,3.656884876,3.5982009,10.94452774,18.14092954,3.448275862,63.86806597,86.26376812,1.470845979,1401817,3002811
2007,Cote d'Ivoire,CIV,206000,318000,322460,0,66.04510744,31.91262653,65.72544841,0,0.31965903,33.95489256,115000000,2.042266027,76.44510009,4.532317706,0.89097695,24.25328525,187.1032109,2889.596,42.64069264,6776.616,3652.332,53.8961039,0.353478286,0.146867782,0,0,9.009009009,44.14414414,7.387387387,16.03603604,23.24324324,60.28690881,7.631054872,10338856,8832381
2007,Croatia,HRV,12020,55960,56590,19.31446792,62.19210841,37.46512555,24.42407334,0,18.45356716,37.80789159,43000000,0.342766042,22.67215589,8.261344128,5.024776161,79.65827107,3846.674077,6186.229,25.96183441,23828.166,13234.203,55.5401662,5.528298459,0.286162755,2618.238,10.98799631,12.25259189,37.88878417,17.57775683,3.345900094,28.93496701,77.02317727,0.996151992,1954640,2355577
2007,Cuba,CUB,66200,106440,109890,0,55.07830232,0.686563777,14.14548343,0,40.93281888,3.046981389,416000000,2.360417612,18.59356034,,0.081892797,84.97962141,1302.44788,2339.546,9.012572397,25958.693,22647.392,87.24396101,2.307209272,,73.34,0.28252578,2.356518434,51.46332193,30.93880654,8.247814519,7.03154694,105.7038895,6.197356078,2664266,8586856
2007,Cyprus,CYP,1472,9240,9250,0,99.938411,0,0,0,99.938411,0.061588996,3000000,0.061588996,4.355311326,10.33261876,2.218722339,96.71664611,4377.12052,0,0,8195.745,7128.648,86.97986577,7.704846138,0.325309252,132.012,1.610738255,7.142857143,50.40431267,12.12938005,1.617250674,28.84097035,115.1204545,0.006460085,340580,723133
2007,Czech Republic,CZE,42490,77250,78870,64.5902648,66.28230254,2.380247026,1.561004512,29.82088328,0.131033225,3.88541999,1321000000,1.505172964,8.292580278,5.873955985,15.32108252,83.06227734,6518.217413,16578.507,13.4469528,123288.207,21598.63,17.51881265,11.97109098,0.456033285,82668.848,67.05332976,8.529241937,60.11713272,14.93854656,1.229068712,15.18601006,133.3181618,0.696645022,2733000,7565828
2007,Denmark,DNK,26630,42430,43090,50.59263404,71.76721945,0.071217825,17.89856547,0,3.276019941,26.21070302,10277000000,26.1394852,17.70092817,10.75440115,4.86685974,82.03661355,6668.390266,9303.179,18.48855852,50318.574,21701.306,43.12782393,9.213429503,0.236491253,17550.262,34.87829762,7.556675063,51.57915133,9.959310211,3.545824453,27.35903895,128.7164271,1.661522213,748599,4712839
2007,Dominican Republic,DOM,24170,48310,48670,12.24612106,85.86934807,13.9841513,13.29826197,0,60.32496504,14.13065193,22000000,0.146500633,18.21930595,12.95285872,2.183880986,86.89827457,1359.052244,1004.758,4.745410461,21173.258,16189.805,76.46345688,2.267220596,0.224506327,1932.509,9.127121579,8.144552319,48.97518878,11.596548,0.916936354,30.36677454,193.3111364,2.528048004,2799791,6539070
2007,Ecuador,ECU,74120,248360,256370,0,43.45834351,55.19789885,12.2709504,0,31.18739311,56.54165649,220000000,1.343757635,12.80813413,11.17591462,5.481130689,85.5949458,952.8168216,891.081,2.791178498,31924.902,27348.486,85.66505858,2.233048279,0.269215771,0,0,10.27213492,27.44346493,14.25833653,9.773859716,38.25220391,57.56384684,17.04043057,5417823,8878734
2007,"Egypt, Arab Rep.",EGY,35380,995450,1001450,0,86.94067722,12.39520815,74.48073588,0,12.45994134,13.05932278,831000000,0.664114634,6.092949183,9.241713627,1.720595721,96.04047938,1424.568214,81194.714,42.93914595,189092.522,84832.378,44.86289416,2.417069964,0.294065953,2918.932,1.543652794,8.278307655,41.30594277,23.98508193,3.790657863,22.63389582,78.58970918,13.24877476,44531291,33700835
2007,El Salvador,SLV,14296.2,20720,21040,0,43.79624849,29.92600241,0,0,43.79624849,56.20375151,1527000000,26.2777491,33.26585898,7.938975129,5.225817518,47.82811692,882.1106454,0,0,6978.301,6329.242,90.69889648,1.14289521,0.196266984,0,0,7.225433526,27.31213873,19.79768786,1.25E-16,45.52023121,294.6819498,0.565857104,2272949,3832861
2007,Eritrea,ERI,75720,101000,117600,0,99.30555556,0,0,0,99.30555556,0.694444444,2000000,0.694444444,80.02334858,6.599542463,0.023992021,26.08490665,81.76107345,0,0,564.718,542.716,96.1038961,0.188456938,0.119359281,0,0,16.32653061,55.10204082,4.081632653,-1.06E-15,24.48979592,29.66867327,3.96277102,2007170,989366
